designation;reference;url_product;Fournisseur
Pomme Granny Smith calibre 95/115 catégorie 1 origine France CE2;251957;/produits/pomme-granny-smith-calibre-95115-categorie-1-origine-france-ce2-0251957;Pomona TerreAzur
Pomme Elstar calibre 136/165 catégorie 2 BIO origine France Fruits et Légumes de ma Région;253782;/produits/pomme-elstar-calibre-136165-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0253782;Pomona TerreAzur
Pomme Braeburn calibre 150/180 catégorie 1 HVE origine France Fruits et Légumes de ma Région;263440;/produits/pomme-braeburn-calibre-150180-categorie-1-hve-origine-france-fruits-et-legumes-ma-region-0263440;Pomona TerreAzur
Pomme Coxorange - pippin calibre 170/220 catégorie 1 CE2 origine France Fruits et Légumes de ma Région;252337;/produits/pomme-coxorange-pippin-calibre-170220-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0252337;Pomona TerreAzur
Citron jaune Sorrento feuille calibre 3 catégorie 1 origine Italie IGP;263343;/produits/citron-jaune-sorrento-feuille-calibre-3-categorie-1-origine-italie-igp-0263343;Pomona TerreAzur
Pomme Chanteclerc Belchard calibre 190/220 catégorie 1 origine France CE2 100% Experts terroirs;262813;/produits/pomme-chanteclerc-belchard-calibre-190220-categorie-1-origine-france-ce2-100-experts-terroirs-0262813;Pomona TerreAzur
Poire Conférence calibre 60/65 prêt à déguster catégorie 1 CE2 origine France Fruits et Légumes de ma Région;251971;/produits/poire-conference-calibre-6065-pret-deguster-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0251971;Pomona TerreAzur
Pomme Dalirene calibre 170/200 catégorie 2 BIO origine France Fruits et Légumes de ma Région;252301;/produits/pomme-dalirene-calibre-170200-categorie-2-bio-origine-france-fruits-et-legumes-ma-region-0252301;Pomona TerreAzur
Pomme Clochard calibre 190/220 catégorie 1 origine France HVE 100% Experts terroirs;263615;/produits/pomme-clochard-calibre-190220-categorie-1-origine-france-hve-100-experts-terroirs-0263615;Pomona TerreAzur
Pomme Bertanne calibre 115/135 catégorie 1 origine France CE2;252456;/produits/pomme-bertanne-calibre-115135-categorie-1-origine-france-ce2-0252456;Pomona TerreAzur
Pomme Red Delicious calibre 201/240 catégorie 1 CE2 origine France Fruits et Légumes de ma Région;252455;/produits/pomme-red-delicious-calibre-201240-categorie-1-ce2-origine-france-fruits-et-legumes-ma-region-0252455;Pomona TerreAzur
Poire Rocha prêt à déguster calibre 60/65 catégorie 1 origine Portugal AOP;252975;/produits/poire-rocha-pret-deguster-calibre-6065-categorie-1-origine-portugal-aop-0252975;Pomona TerreAzur
Pomme Pixie - Pixie crunch calibre 150/180 catégorie 2 conversion BIO origine France Fruits et Légumes de ma Région;263596;/produits/pomme-pixie-pixie-crunch-calibre-150180-categorie-2-conversion-bio-origine-france-fruits-et-legumes-ma-region-0263596;Pomona TerreAzur
