designation;reference;url_product;Fournisseur
POÊLÉE RATATOUILLE;75029;/Promotions/Poelee-ratatouille/p/000000000000075029;Sysco
CHUTE DE TRANCHE DE JAMBON CUIT STANDARD DD;48643;/Promotions/Chute-de-tranche-de-jambon-cuit-standard-DD/p/000000000000048643;Sysco
BEURRE MOTTE MOULE DOUX;81578;/Promotions/Beurre-motte-moule-doux/p/000000000000081578;Sysco
CRÈME GLACÉE CARAMEL BEURRE SALÉ;77033;/Promotions/Creme-glacee-caramel-beurre-sale/p/000000000000077033;Sysco
CHOCOLAT DE COUVERTURE NOIR;16930;/Produits/Chocolat-de-couverture-noir/p/000000000000016930;Sysco
KETCHUP;18942;/Promotions/Ketchup/p/000000000000018942;Sysco
TARTARE DE TOMATE;42498;/Produits/Tartare-de-tomate/p/000000000000042498;Sysco
BÛCHE DE CHÈVRE;83026;/Les-produits/La-cremerie/Les-fromages-a-la-coupe-et-a-la-piece/Les-fromages-de-chevre/Les-fromages-de-chevre/Buche-de-chevre/p/000000000000083026;Sysco
POIVRON EN LANIÈRES MIX;77236;/Produits/Poivron-en-lanieres-Mix/p/000000000000077236;Sysco
TOMME DE SAVOIE IGP;81954;/Promotions/Tomme-de-Savoie-IGP/p/000000000000081954;Sysco
CREAM CHEESE;82829;/Les-produits/La-cremerie/Les-bases-d-assemblage/Les-preparations-culinaires/Les-preparations-culinaires/Cream-cheese/p/000000000000082829;Sysco
MOUTARDE DE DIJON;14549;/Promotions/Moutarde-de-Dijon/p/000000000000014549;Sysco
BLANC D'OEUF LIQUIDE SOL+;82826;/Produits/Blanc-d-oeuf-liquide-Sol%2B/p/000000000000082826;Sysco
BRIOCHE PERDUE;60208;/Les-produits/Les-desserts/Les-desserts-individuels/Les-gateaux-et-entremets/Les-gateaux-et-entremets/Brioche-perdue/p/000000000000060208;Sysco
SAUCE DESSERT CARAMEL AU BEURRE SALÉ;14931;/Promotions/Sauce-dessert-caramel-au-beurre-sale/p/000000000000014931;Sysco
PAIN DE MIE LONGUE SAVEUR;48796;/Promotions/Pain-de-mie-longue-saveur/p/000000000000048796;Sysco
RACLETTE PRÉTRANCHÉE;81006;/Produits/Raclette-pretranchee/p/000000000000081006;Sysco
RIZ LONG BASMATI QS;14597;/Promotions/Riz-long-basmati-QS/p/000000000000014597;Sysco
CUBE OIGNON;60118;/Produits/Cube-oignon/p/000000000000060118;Sysco
GROS SEL;14044;/Promotions/Gros-sel/p/000000000000014044;Sysco
ÉCHALOTE CISELÉE;77374;/Produits/Echalote-ciselee/p/000000000000077374;Sysco
ÉCHALOTE EN MORCEAUX;70214;/Promotions/Echalote-en-morceaux/p/000000000000070214;Sysco
CREVETTE SAUVAGE ENTIÈRE CRUE GAMBAS N°1;35302;/Promotions/Crevette-sauvage-entiere-crue-gambas-n%C2%B01/p/000000000000035302;Sysco
CRÈME DE VINAIGRE BALSAMIQUE DE MODÈNE;16904;/Produits/Creme-de-vinaigre-balsamique-de-Modene/p/000000000000016904;Sysco
ASSORTIMENT DE MACARONS;76574;/Promotions/Assortiment-de-macarons/p/000000000000076574;Sysco
THON LISTAO AU NATUREL EN MORCEAUX;14513;/Promotions/Thon-listao-au-naturel-en-morceaux/p/000000000000014513;Sysco
VIANDE DE BOEUF HACHÉE VBF;41579;/Promotions/Viande-de-boeuf-hachee-VBF/p/000000000000041579;Sysco
SUCRE GLACE;18463;/Promotions/Sucre-glace/p/000000000000018463;Sysco
CAMEMBERT AU LAIT CRU;80028;/Produits/Camembert-au-lait-cru/p/000000000000080028;Sysco
SUPRÊME DE POULET JAUNE VF;42678;/Les-produits/La-volaille--le-canard-et-le-lapin/Le-poulet/Le-poulet-origine-France/Les-decoupes/Supreme-de-poulet-jaune-VF/p/000000000000042678;Sysco
AIL PELÉ FRAIS;40766;/Promotions/Ail-pele-frais/p/000000000000040766;Sysco
MAÏZENA;18366;/Promotions/Maizena/p/000000000000018366;Sysco
LARDON NATURE 8/8;10808;/Promotions/Lardon-nature-8-8/p/000000000000010808;Sysco
RIZ ARBORIO QS;17394;/Les-produits/L-epicerie/Les-legumes-et-feculents/Le-riz/Le-riz/Riz-arborio-QS/p/000000000000017394;Sysco
HUILE D'OLIVE VIERGE EXTRA;19268;/Les-produits/L-epicerie/L-huile--le-vinaigre-et-corps-gras/Les-huiles-pour-assaisonnement/Les-huiles-pour-assaisonnement/Huile-d-olive-vierge-extra/p/000000000000019268;Sysco
FILET DE BACON FUMÉ TRANCHÉ VPF;44065;/Les-produits/La-charcuterie/La-charcuterie-tranchee-et-aide-culinaire/Le-bacon--lard-et-lardon/Le-bacon/Filet-de-bacon-fume-tranche-VPF/p/000000000000044065;Sysco
DÉS DE MANGUE;71522;/Promotions/Des-de-mangue/p/000000000000071522;Sysco
HUILE VÉGÉTALE RÉSERVÉE À LA FRITURE;47565;/Promotions/Huile-vegetale-reservee-a-la-friture/p/000000000000047565;Sysco
RÂPÉ DE POMME DE TERRE;76112;/Promotions/Rape-de-pomme-de-terre/p/000000000000076112;Sysco
CRÈME SUCRÉE SOUS PRESSION;82687;/Produits/Creme-sucree-sous-pression/p/000000000000082687;Sysco
LARDON FUMÉ ALLUMETTE 5/5;48217;/Promotions/Lardon-fume-allumette-5-5/p/000000000000048217;Sysco
PURÉE DE POMME DE TERRE NATURE;72223;/Promotions/Puree-de-pomme-de-terre-nature/p/000000000000072223;Sysco
AIL HACHÉ;70212;/Promotions/Ail-hache/p/000000000000070212;Sysco
MAGRET DE CANARD FUMÉ TRANCHÉ IGP SUD-OUEST;44315;/Promotions/Magret-de-canard-fume-tranche-IGP-Sud-ouest/p/000000000000044315;Sysco
LAIT DE COCO;19244;/Promotions/Lait-de-coco/p/000000000000019244;Sysco
BEURRE MICROPAIN PASTEURISÉ DOUX;80014;/Promotions/Beurre-micropain-pasteurise-doux/p/000000000000080014;Sysco
OEUF MOYEN ALVÉOLÉ SOL;81617;/Les-produits/La-cremerie/Les-ovoproduits/Les-oeufs-coquilles/Les-oeufs-coquilles/Oeuf-moyen-alveole-sol/p/000000000000081617;Sysco
GRANA PADANO AOP RÂPÉ;82689;/Produits/Grana-Padano-AOP-rape/p/000000000000082689;Sysco
DOUBLE CONCENTRÉ DE TOMATE;14479;/Promotions/Double-concentre-de-tomate/p/000000000000014479;Sysco
BURRATA;81984;/Promotions/Burrata/p/000000000000081984;Sysco
ÉGRENÉ DE BOEUF;71511;/Promotions/Egrene-de-boeuf/p/000000000000071511;Sysco
BANDE DE SAUMON ATLANTIQUE FUMÉ DÉCONGELÉ;46827;/Promotions/Bande-de-saumon-atlantique-fume-decongele/p/000000000000046827;Sysco
CÂPRE FINE;14538;/Promotions/Capre-fine/p/000000000000014538;Sysco
PAIN AU CHOCOLAT AU BEURRE AOP CHARENTES POITOU;77567;/Produits/Pain-au-chocolat-au-beurre-AOP-Charentes-Poitou/p/000000000000077567;Sysco
PRÉPARATION LIQUIDE UHT POUR CRÈME BRÛLÉE VANILLE;81348;/Produits/Preparation-liquide-UHT-pour-creme-brulee-vanille/p/000000000000081348;Sysco
POTATOE BUN POUR BURGER TRANCHÉ;19460;/Produits/Potatoe-bun-pour-burger-tranche/p/000000000000019460;Sysco
COMTÉ AOP;80300;/Produits/Comte-AOP/p/000000000000080300;Sysco
MINI-CROISSANT AU BEURRE PAC;73285;/Promotions/Mini-croissant-au-beurre-PAC/p/000000000000073285;Sysco
FRITE SURECRISP SKIN ON;76723;/Produits/Frite-surecrisp-skin-on/p/000000000000076723;Sysco
CRÈME SUCRÉE SAVEUR VANILLE STÉRILISÉE UHT;82224;/Promotions/Creme-sucree-saveur-vanille-sterilisee-UHT/p/000000000000082224;Sysco
MINI-PAIN CHOCOLAT AU BEURRE PAC;73786;/Promotions/Mini-pain-chocolat-au-beurre-PAC/p/000000000000073786;Sysco
TAGLIATELLE;11515;/Promotions/Tagliatelle/p/000000000000011515;Sysco
BRIE;81823;/Produits/Brie/p/000000000000081823;Sysco
CHAPELURE BRUNE;16737;/Les-produits/L-epicerie/Les-ingredients-cuisine/Les-croutons-et-la-chapelure/Les-croutons-et-la-chapelure/Chapelure-brune/p/000000000000016737;Sysco
